DateTime,Scenario,Model,Invocation Mode,Model ID,Expected Supported,CRIS ARN,CRIS Type,STS ApplicationShortname,STS AssetID,Request ID,Input Tokens,Output Tokens,Total Tokens,Status,Validation,Error
2026-09-03T18:33:26.473526+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,DIRECT,anthropic.claude-sonnet-5,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID anthropic.claude-sonnet-5 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-03T18:33:26.589298+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,US_CRIS,us.anthropic.claude-sonnet-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.anthropic.claude-sonnet-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,2aa421a0-02aa-426d-a041-782910c8dc9c,30,206,236,SUCCESS,PASS,
2026-09-03T18:33:30.472829+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,GLOBAL_CRIS,global.anthropic.claude-sonnet-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.anthropic.claude-sonnet-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/anthropic.claude-sonnet-5 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-03T18:33:30.654630+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,DIRECT,anthropic.claude-opus-5,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID anthropic.claude-opus-5 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-03T18:33:30.763129+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,US_CRIS,us.anthropic.claude-opus-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.anthropic.claude-opus-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,0b3438a9-dbad-4be8-89e2-c8a17bf66737,30,256,286,SUCCESS,PASS,
2026-09-03T18:33:35.182562+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Opus 5,GLOBAL_CRIS,global.anthropic.claude-opus-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.anthropic.claude-opus-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/anthropic.claude-opus-5 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-03T18:33:35.422709+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,DIRECT,amazon.nova-2-lite-v1:0,True,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID amazon.nova-2-lite-v1:0 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-03T18:33:35.521584+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,US_CRIS,us.amazon.nova-2-lite-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.amazon.nova-2-lite-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,0f82cad9-0f40-4a62-bf2f-184723596b8e,57,128,185,SUCCESS,PASS,
2026-09-03T18:33:37.555731+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Amazon Nova 2 Lite,GLOBAL_CRIS,global.amazon.nova-2-lite-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/global.amazon.nova-2-lite-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,UNEXPECTED_FAILURE,An error occurred (AccessDeniedException) when calling the Converse operation: User: arn:aws:sts::196856463470:assumed-role/SandboxServiceRole/Scenario3CRISSTS is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:::foundation-model/amazon.nova-2-lite-v1:0 with an explicit deny in a service control policy: arn:aws:organizations::691319007355:policy/o-oezy0dd9gc/service_control_policy/p-4i5rkk5u
2026-09-03T18:33:37.771768+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,DIRECT,meta.llama4-maverick-17b-instruct-v1:0,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID meta.llama4-maverick-17b-instruct-v1:0 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-03T18:33:37.862665+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,US_CRIS,us.meta.llama4-maverick-17b-instruct-v1:0,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.meta.llama4-maverick-17b-instruct-v1:0,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,bad87ce6-ac01-4a4d-b9ee-0b2b0dc3bf34,46,82,128,SUCCESS,PASS,
2026-09-03T18:33:38.736888+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Meta Llama 4 Maverick,GLOBAL_CRIS,global.meta.llama4-maverick-17b-instruct-v1:0,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: The provided model identifier is invalid.
2026-09-03T18:53:41.034998+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,DIRECT,anthropic.claude-sonnet-5,False,,,grh-cris-sts,MSR06632-CRIS,,,,,FAILURE,EXPECTED_FAILURE,An error occurred (ValidationException) when calling the Converse operation: Invocation of model ID anthropic.claude-sonnet-5 with on-demand throughput isn’t supported. Retry your request with the ID or ARN of an inference profile that contains this model.
2026-09-03T18:53:41.136548+00:00,Scenario 3 - Direct vs US CRIS vs Global CRIS,Claude Sonnet 5,US_CRIS,us.anthropic.claude-sonnet-5,True,arn:aws:bedrock:us-east-1:196856463470:inference-profile/us.anthropic.claude-sonnet-5,SYSTEM_DEFINED,grh-cris-sts,MSR06632-CRIS,1bf06fec-498d-4f34-9571-60c8fb078b80,30,177,207,SUCCESS,PASS,
